Rory McIlroy,320.5,,,,,
Trey Mullinax,318.7,,,,,
Tony Finau,316.2,,,,,
Tom Lovelady,315.9,,,,,
Luke List,315.2,,,,,
Dustin Johnson,314,,,,,
Bubba Watson,313.3,,,,,
Gary Woodland,313.3,,,,,
Keith Mitchell,313.2,,,,,
Justin Thomas,312.6,,,,,
Brooks Koepka,312.3,,,,,
Brendan Steele,311,,,,,
Joaquin Niemann,310.4,,,,,
Jason Day,310.3,,,,,
Kevin Tway,310.1,,,,,
Jason Kokrak,309.8,,,,,
Jon Rahm,309.4,,,,,
Kevin Chappell,309.1,,,,,
Byeong Hun An,308.9,,,,,
Harold Varner III,308.2,,,,,
Robert Garrigus,307.9,,,,,
Nick Watney,307.4,,,,,
Grayson Murray,307.3,,,,,
Tommy Fleetwood,307,,,,,
Bryson DeChambeau,306.2,,,,,
J.B. Holmes,305.6,,,,,
Ryan Palmer,305.6,,,,,
Adam Schenk,305.5,,,,,
Adam Scott,304.8,,,,,
Xander Schauffele,304.5,,,,,
Matt Jones,304.2,,,,,
Paul Casey,304.1,,,,,
Aaron Wise,303.5,,,,,
Tiger Woods,303.5,,,,,
Patrick Rodgers,303.4,,,,,
Corey Conners,303.3,,,,,
Bronson Burgoon,303.1,,,,,
Patrick Cantlay,303.1,,,,,
Brandon Harkins,303.1,,,,,
Jamie Lovemark,302.9,,,,,
Jhonattan Vegas,302.9,,,,,
Sam Saunders,302.8,,,,,
Hudson Swafford,302.8,,,,,
Sean O'Hair,302.7,,,,,
Seamus Power,302.6,,,,,
Justin Rose,302.6,,,,,
Harris English,302.4,,,,,
Lanto Griffin,302.4,,,,,
Hideki Matsuyama,302.4,,,,,
Sergio Garcia,302,,,,,
Francesco Molinari,301.6,,,,,
Ollie Schniederjans,301.6,,,,,
Matt Atkins,301.4,,,,,
Rickie Fowler,301.1,,,,,
Cody Gribble,301,,,,,
Keegan Bradley,300.9,,,,,
J.T. Poston,300.7,,,,,
Peter Uihlein,300.7,,,,,
Charles Howell III,300.6,,,,,
Shane Lowry,300.3,,,,,
Louis Oosthuizen,300.2,,,,,
Padraig Harrington,300.1,,,,,
Martin Flores,300,,,,,
Chesson Hadley,300,,,,,
Beau Hossler,299.8,,,,,
Phil Mickelson,299.6,,,,,
Shawn Stefani,299.6,,,,,
Patrick Reed,299.5,,,,,
Charl Schwartzel,299.5,,,,,
Jordan Spieth,299.5,,,,,
Stephan Jaeger,299.2,,,,,
Alex Noren,299.2,,,,,
Scott Stallings,299.2,,,,,
Patton Kizzire,299.1,,,,,
Martin Laird,299,,,,,
J.J. Spaun,299,,,,,
Ethan Tracy,299,,,,,
Talor Gooch,298.9,,,,,
Branden Grace,298.9,,,,,
Charley Hoffman,298.8,,,,,
Xinjun Zhang,298.7,,,,,
James Hahn,298.5,,,,,
Stewart Cink,298.3,,,,,
Cameron Smith,298.1,,,,,
Jimmy Walker,298.1,,,,,
Daniel Berger,298,,,,,
Tyrrell Hatton,297.9,,,,,
Marc Leishman,297.9,,,,,
Sam Ryder,297.3,,,,,
Lucas Glover,297.2,,,,,
Smylie Kaufman,297.1,,,,,
Dominic Bozzelli,297,,,,,
Hunter Mahan,296.9,,,,,
Jason Dufner,296.8,,,,,
Brice Garnett,296.6,,,,,
Michael Thompson,296.4,,,,,
Bill Haas,296.3,,,,,
Retief Goosen,296.2,,,,,
Billy Horschel,296.1,,,,,
Scott Piercy,296.1,,,,,
Abraham Ancer,295.9,,,,,
Joel Dahmen,295.9,,,,,
Kyle Stanley,295.7,,,,,
Cameron Percy,295.6,,,,,
Aaron Baddeley,295.5,,,,,
Bud Cauley,295.4,,,,,
Denny McCarthy,295.4,,,,,
Brett Stegmaier,295.4,,,,,
Troy Merritt,295.3,,,,,
Kevin Streelman,295.2,,,,,
Rafa Cabrera Bello,295,,,,,
Mackenzie Hughes,295,,,,,
Blayne Barber,294.7,,,,,
Kiradech Aphibarnrat,294.6,,,,,
Tyler Duncan,294.4,,,,,
Andrew Putnam,294.4,,,,,
Emiliano Grillo,294.3,,,,,
Matt Every,294.2,,,,,
Nate Lashley,293.9,,,,,
Anirban Lahiri,293.8,,,,,
Webb Simpson,293.7,,,,,
Nicholas Lindheim,293.5,,,,,
Satoshi Kodaira,293.3,,,,,
Pat Perez,293.3,,,,,
Graeme McDowell,293.2,,,,,
Brandt Snedeker,293.2,,,,,
Jonas Blixt,293.1,,,,,
Sung Kang,293.1,,,,,
Ian Poulter,293.1,,,,,
C.T. Pan,292.9,,,,,
Nick Taylor,292.7,,,,,
Scott Brown,292.6,,,,,
Robert Streb,292.6,,,,,
Austin Cook,292.5,,,,,
Brian Harman,292.5,,,,,
Rory Sabbatini,292.3,,,,,
Martin Piller,292.2,,,,,
Richy Werenski,292.2,,,,,
Russell Henley,292.1,,,,,
Zecheng Dou,291.9,,,,,
J.J. Henry,291.8,,,,,
Andrew Landry,291.8,,,,,
Jonathan Byrd,291.7,,,,,
Russell Knox,291.4,,,,,
Conrad Shindler,291.3,,,,,
Henrik Stenson,291.2,,,,,
Fabián Gómez,291.1,,,,,
Tom Hoge,291,,,,,
Peter Malnati,290.9,,,,,
Ricky Barnes,290.6,,,,,
Andrew Yun,290.6,,,,,
Si Woo Kim,290.5,,,,,
Kevin Kisner,290.5,,,,,
Danny Lee,290.4,,,,,
Chris Kirk,290.3,,,,,
Tyrone Van Aswegen,290.3,,,,,
Ben Silverman,290.2,,,,,
Kevin Na,290.1,,,,,
Zach Johnson,289.9,,,,,
Chris Stroud,289.8,,,,,
Ben Martin,289.6,,,,,
Michael Kim,289.5,,,,,
Jonathan Randolph,289.4,,,,,
Adam Hadwin,289.3,,,,,
William McGirt,289.3,,,,,
Cameron Tringale,289.3,,,,,
Derek Fathauer,289.1,,,,,
Ryan Blaum,289,,,,,
Ryan Moore,288.9,,,,,
Steve Wheatcroft,288.9,,,,,
Kelly Kraft,288.6,,,,,
Rod Pampling,288.4,,,,,
Matt Kuchar,288.2,,,,,
Geoff Ogilvy,287.6,,,,,
Chez Reavie,287.3,,,,,
John Huh,287.1,,,,,
Daniel Summerhays,287.1,,,,,
Alex Cejka,286.7,,,,,
Chad Campbell,286.5,,,,,
Roberto Díaz,286.3,,,,,
"Ted Potter, Jr.",286.2,,,,,
Vaughn Taylor,286.1,,,,,
Johnson Wagner,286.1,,,,,
Whee Kim,285.7,,,,,
David Lingmerth,285.4,,,,,
Kyle Thompson,285.3,,,,,
Rob Oppenheim,285.2,,,,,
David Hearn,285.1,,,,,
Billy Hurley III,284,,,,,
Ryan Armour,283.9,,,,,
Greg Chalmers,282.8,,,,,
Brian Gay,282.7,,,,,
Camilo Villegas,281.5,,,,,
Ben Crane,281.1,,,,,
D.A. Points,280.8,,,,,
Jim Furyk,280.5,,,,,
Wesley Bryan,280.4,,,,,
Zac Blair,279.5,,,,,
Brian Stuard,278.1,,,,,